OBJECTID *,Shape *,Join_Count,TARGET_FID,state,city,name,holc_id,holc_grade,neighborho,area_descr,Black Population %,White Population %,Indigenous American %,Asian Population %,Hispanic or Latino Population %,% Below Poverty Line ,% Housing Units Owned,% Housing Units Rented,% Mobile Homes,% 1970-1979 or older,% 1980-1989 or newer,% With Complete Plumbing,% With Incomplete Plumbing,% Foreign Born,Shape_Length,Shape_Area,Indicator for Plumbing
13,Polygon,3,1654,IA,Council Bluffs, ,C,C,8407,"{ """" : """" }",2.038143,94.286907,0.140221,0.709152,8.449627,13.943084,63.692172,36.307821,1.434511,75.880212,24.119781,98.295845,1.704149,72.763399,0.009328,0.000005,0
14,Polygon,4,1655,IA,Council Bluffs, ,C,C,8409,"{ """" : """" }",3.650509,95.51167,0.598444,0,21.364452,2.755267,70.178282,29.821718,1.960784,94.117647,5.882353,100,0,100,0.053781,0.000092,1
15,Polygon,3,1656,IA,Council Bluffs, ,C,C,8416,"{ """" : """" }",0.655215,93.590801,1.766671,0,18.884435,14.112541,60.987552,39.012448,6.849661,96.361516,3.638484,100,0,66.145656,0.039818,0.000036,1
16,Polygon,2,1657,IA,Council Bluffs, ,C,C,8419,"{ """" : """" }",0.234274,94.07055,1.11426,0,6.488721,17.434897,72.735605,27.264403,15.90554,77.548023,22.451985,97.528703,2.471305,96.985501,0.044571,0.000074,0
17,Polygon,10,1658,IA,Council Bluffs, ,D,D,8412,"{ """" : """" }",2.038143,94.286907,0.140221,0.709152,8.449627,13.943084,63.692172,36.307821,1.434511,75.880212,24.119781,98.295845,1.704149,72.763399,0.496472,0.001194,0
18,Polygon,1,1659,IA,Council Bluffs, ,D,D,8417,"{ """" : """" }",0.958483,79.595306,0.713116,0.013791,30.361075,29.758402,70.837709,29.162292,73.466735,19.811063,80.188938,95.270867,4.729133,85.919875,0.013053,0.000009,0
19,Polygon,4,1660,IA,Davenport, ,A1,A,8386,"{ ""1"" : ""Residences here consist of brick veneer predominating - some frame. Price range $6000.00 to $50,000.00 - practically all home owned by well-to-do class (but well mortgaged also). Average rent $55.00 per month and rentals have raised from $40.00",0.173132,94.093667,0,1.010157,3.739162,4.71639,89.253661,10.746335,0,97.660841,2.339155,99.992217,0.007779,96.371294,0.050418,0.000089,1
20,Polygon,4,1661,IA,Davenport, ,A2,A,8387,"{ ""1"" : ""Homes here mostly of brick veneer and stucco. It is a newer developed part of the city. Average age of homes 15 to 20 years valued from $5000.00 to $8,000.00. Rents range from $35.00 to $55.00 per month. A good class of salaried people live here",6.207635,89.728332,0.026163,0.210115,9.718444,10.652415,76.085444,23.914557,0,97.341216,2.658785,100.000001,0,4.1376,0.047106,0.000032,1
21,Polygon,3,1662,IA,Davenport, ,B1,B,8382,"{ ""1"" : ""Very desirable property as the trend of good residential building is toward the east. A portion of this is not subdivided, being mostly vacant land, and the buildings that are there at present are frame. Would loan up to 70% of cash market value",0.173132,94.093667,0,1.010157,3.739162,4.71639,89.253661,10.746335,0,97.660841,2.339155,99.992217,0.007779,96.371294,0.016651,0.000017,1
22,Polygon,4,1663,IA,Davenport, ,B2,B,9266,"{ ""1"" : ""60% built up. Very desirable residential property. Mostly single homes with an average worth of $6000.00 - homes ranging from $3500.00 to $10,000.00. The average rent is $42.50 per month. This district is occupied by a splendid class of middle-a",0.173132,94.093667,0,1.010157,3.739162,4.71639,89.253661,10.746335,0,97.660841,2.339155,99.992217,0.007779,96.371294,0.070599,0.000077,1
23,Polygon,2,1664,IA,Davenport, ,B2A,B,8390,"{ ""1"" : ""All owner occupied. The development of this area was by the old aristocrats of Davenport. There are many fine homes here including the Bishop of the Catholic Diocese. Homes composed of 50% brick and 50% frame - average age of 20 years - well bui",12.259486,74.081401,0.198421,4.661337,9.423912,25.987124,47.224044,52.775949,0.334052,97.050604,2.949389,97.12748,2.872513,37.259138,0.033461,0.000052,0
24,Polygon,7,1665,IA,Davenport, ,B2B,B,9265,"{ ""1"" : ""Half brick and half frame in this district and some stucco. Mostly all owner occupied. Good salability and rent. Average 15 years of age. Very little rehabilitation needed. Rents from $35.00 to $55.00 per month. Shrinkage 15-20%. Price range fro",6.207635,89.728332,0.026163,0.210115,9.718444,10.652415,76.085444,23.914557,0,97.341216,2.658785,100.000001,0,4.1376,0.040664,0.000048,1
25,Polygon,9,1666,IA,Davenport, ,B2C,B,8398,"{ ""1"" : ""Single owner occupied -.mostly frame, Price range $5000.00 to $20,000.00. Rents from $20.00 to $42.50 per month. Average age 12 to 15 years. Price range $3750.00 to $5500.00. Shrinkage here 20-25%. Would loan up to 60-65% of cash market value.""",6.207635,89.728332,0.026163,0.210115,9.718444,10.652415,76.085444,23.914557,0,97.341216,2.658785,100.000001,0,4.1376,0.113266,0.0002,1
26,Polygon,3,1667,IA,Davenport, ,B3,B,8391,"{ ""1"" : ""Home owners occupy this area. It is well built. The average age is 50 years. Very few properties for rent. Average rent $35.00 to $50.00 per month. Price range from $4800.00 to $7500.00. 25% shrinkage here. Very little rehabilitation required. M",13.388378,81.509158,0,3.395263,0.257296,12.951671,37.741563,62.258438,0.000106,97.558474,2.441527,99.940468,0.059533,77.882724,0.026408,0.000037,1
27,Polygon,9,1668,IA,Davenport, ,B3A,B,8399,"{ ""1"" : ""This consists of rolling farm land and some scattered acreage lots, and would run from $100.00 to $300.00 per acre. Ultimately it is expected this property, if city growth continues, will be more valuable."" }",3.167412,92.349821,0.836014,0.500007,7.502027,10.357249,79.699451,20.300556,0.913171,89.418184,10.581823,97.20445,2.795557,89.265771,0.244868,0.00132,0
28,Polygon,7,1669,IA,Davenport, ,C1,C,9270,"{ ""1"" : ""Colored section injures this property. Very sparsely settled on account of hollow ground and hills. Age of property 10 to 25 years renting from $15.00 to $35.00 per month - worth a minimum price of $1500.00 to a maximum of $5000.00. There are so",1.247981,93.609419,0,1.8498,3.513446,6.975203,97.534224,2.465779,0,98.458796,1.541208,100.000003,0,77.097809,0.061764,0.000094,1
29,Polygon,4,1670,IA,Davenport, ,C10,C,8388,"{ ""1"" : ""Future is good for this property. Small percentage improved. Considerable vacant land, age 10 years - rents range from $20.00 to $50.00 per month. Depreciation from 1929 is 20%. Is now attracted by the better class of labor and salaried individu",1.959548,94.287003,0.543359,0,11.607654,6.885398,78.564575,21.435425,0.022462,96.286408,3.713592,100,0,23.679986,0.045313,0.000072,1
30,Polygon,4,1671,IA,Davenport, ,C11,C,8392,"{ ""1"" : ""This consists of rolling farm land, some acreages and some subdivisions. The Airport is in this district. Land would be worth here from $100.00 to $150.00 an acre."" }",1.959548,94.287003,0.543359,0,11.607654,6.885398,78.564575,21.435425,0.022462,96.286408,3.713592,100,0,23.679986,0.116979,0.000367,1
31,Polygon,3,1672,IA,Davenport, ,C2,C,8394,"{ ""1"" : ""90% of this is vacant land. A railroad track, Orphans Home and low ground make this unattractive. Average rents $25.00 per month. The value of properties here range from $2000.00 to $5000.00. Frame construction, 15 years of age. Some rehabilitat",7.662448,84.336452,0,2.02164,5.870012,10.684634,76.364904,23.63509,0.000366,94.248925,5.75107,97.975909,2.024086,35.851211,0.01398,0.00001,0
32,Polygon,7,1673,IA,Davenport, ,C3,C,9267,"{ ""1"" : ""Average age of property here 30 years. Formerly this was a high-class residential district. Property is now worth from $3000.00 to $10,000.00, and rents range from $15.00 to $60.00 per month. There are some very fine homes here, A great deal of",7.662448,84.336452,0,2.02164,5.870012,10.684634,76.364904,23.63509,0.000366,94.248925,5.75107,97.975909,2.024086,35.851211,0.0836,0.000186,0
33,Polygon,6,1674,IA,Davenport, ,C4,C,8395,"{ ""1"" : ""This is mostly acreage worth from $200.00 to $1200.00 per acre. It is rolling land - very little under cultivation, but its future, if any, is very far away from a residential standpoint. Loanable value from 25% to 30% of cash market value. "" }",7.275501,77.822544,0,6.897061,6.45596,17.79523,53.433019,46.566984,0.052998,92.342469,7.657534,100.000004,0,88.672464,0.056428,0.000136,1
34,Polygon,3,1675,IA,Davenport, ,C5,C,8397,"{ ""1"" : ""High class acreage - 20% developed, with good frame houses on two and five-acre tracts. These tracts are worth from $3000.00 to $10,000.00. A good type of people live in this district. The Fair Grounds are in this district. Would loan from 30% t",7.275501,77.822544,0,6.897061,6.45596,17.79523,53.433019,46.566984,0.052998,92.342469,7.657534,100.000004,0,88.672464,0.058783,0.000212,1
35,Polygon,3,1676,IA,Davenport, ,C6,C,9268,"{ ""1"" : ""A sub-division mostly of frame houses of poor type renting from $12.00 to $30.00 per month. Only partially settled and improved. The values range from $1000.00 to $3500.00. Laboring class of people. Would make no loans here except on portions in",7.275501,77.822544,0,6.897061,6.45596,17.79523,53.433019,46.566984,0.052998,92.342469,7.657534,100.000004,0,88.672464,0.033918,0.000066,1
36,Polygon,5,1677,IA,Davenport, ,C7,C,8389,"{ ""1"" : ""A United States Housing Corporation district which was provided during the war for employees of the Arsenal. A very fair type of construction of about 18 years of age. Rents average from $22.00 to $35.00 per month. Very little rehabilitation nee",7.275501,77.822544,0,6.897061,6.45596,17.79523,53.433019,46.566984,0.052998,92.342469,7.657534,100.000004,0,88.672464,0.048962,0.000115,1
37,Polygon,5,1678,IA,Davenport, ,C8,C,8384,"{ ""1"" : ""Built up principally of frame houses worth from $2000.00 to $5000.00, renting from $15.00 to $35.00 per month. Age 10 to 25 years. A small commercial district. Would loan from 30% to 40% of cash market value. Some rehabilitation needed here. It",7.275501,77.822544,0,6.897061,6.45596,17.79523,53.433019,46.566984,0.052998,92.342469,7.657534,100.000004,0,88.672464,0.103001,0.000217,1
38,Polygon,8,1679,IA,Davenport, ,C9,C,9269,"{ ""1"" : ""Very fine class of people, mostly of German extraction, live here. A large percentage are home owners, and there is a low percentage of mortgage indebtedness in this district. Prices run from $2000.00 to $10,000.00, and rents from $16.00 to $50.",6.207635,89.728332,0.026163,0.210115,9.718444,10.652415,76.085444,23.914557,0,97.341216,2.658785,100.000001,0,4.1376,0.179054,0.000361,1
39,Polygon,4,1680,IA,Davenport, ,D1,D,8385,"{ ""1"" : ""Some colored people are in this district. Rents are from $8.00 to $25.00 per month. 60% of it is built up with value of homes from $800.00 to $4000.00. Very rarely are sales made here. Jersey Ridge Road cuts this colored section from the best re",0.173132,94.093667,0,1.010157,3.739162,4.71639,89.253661,10.746335,0,97.660841,2.339155,99.992217,0.007779,96.371294,0.024537,0.000023,1
40,Polygon,6,1681,IA,Davenport, ,D2,D,9271,"{ ""1"" : ""The old business and residential district of Davenport. A great deal of the construction here predates 1910 and much of it was built in the early 80's, and some built in 1860. In the residential section most of the homes are frame. This is to th",23.929368,60.89481,0,0.901461,9.630017,26.444957,41.325053,58.674949,0,95.698719,4.301282,94.253812,5.74619,79.960493,0.161041,0.000376,0
41,Polygon,5,1682,IA,Davenport, ,D3,D,8396,"{ ""1"" : ""Part of the present and future Industrial land - no streets. Railroad runs through here. Very low ground. Some land is quoted at $1000.00 per acre for industrial purposes only. Runs by the Mississippi River - has both railroad and dockage facili",9.509653,84.67796,0.359205,0.076165,10.661409,20.888856,72.40423,27.595777,3.150947,96.540324,3.459683,99.475432,0.524574,69.399479,0.082312,0.000086,0
42,Polygon,3,1683,IA,Davenport, ,D4,D,8383,"{ ""1"" : ""Consists principally of small, not modern construction frame dwellings. One opinion is that a subdivision of this should never have been allowed. The land is very low and often troubled with water overflow from the Mississippi River. I understan",1.614705,90.190679,0.845741,2.319139,6.61747,11.745887,69.696253,30.30375,0.265954,86.235764,13.764239,98.183214,1.816789,81.815392,0.046836,0.000091,0
43,Polygon,8,1684,IA,Des Moines, ,A1,A,8363,"{ ""1"" : ""On conservative appraisals loans may be made in this district from 65-75%. Construction is brick and frame, with frame predominating although there are a large number of brick homes. Considerable new building is at present under way on the weste",4.066837,86.103524,0.32833,4.799405,3.661359,8.741805,68.827797,31.172205,0.189852,87.255638,12.744363,99.351937,0.648065,83.882035,0.247361,0.001563,0
44,Polygon,3,1685,IA,Des Moines, ,A2,A,8366,"{ ""1"" : ""Construction in this district is mostly brick, and the percentage of loan servative valuation is from 70-80%. Average age of homes is eight years - they rent from $40.00 to $75.00 per month. The peak was in 1929 and the low in 1932. Depreciation",29.540484,50.825815,0.543855,9.867682,34.871217,28.288888,56.409075,43.590926,0.171066,92.835283,7.164718,100.000001,0,99.613209,0.025415,0.000036,1
45,Polygon,3,1686,IA,Des Moines, ,A3,A,8369,"{ ""1"" : ""60-70% loans may be made here on a conservative appraisal. The construction is predominantly frame with an average of 22 years. Rentals are from $30.00 to $50.00 per month. At the peak they were from $40.00 to $60.00, and at the low $25,00 to $4",9.183706,76.595207,0.24156,5.769837,20.193222,14.624043,84.131889,15.868117,0,99.297901,0.702105,97.908466,2.09154,84.232005,0.041819,0.000055,0
46,Polygon,3,1687,IA,Des Moines, ,A4,A,8353,"{ ""1"" : ""Percentage of loans that could be made on. a conservative valuation is from 65-75%. Construction is frame and brick with frame predominating. Most of the brick homes have been built within the last ten years, and the frame ones average 25-30 yea",2.650412,91.744994,0.002574,1.566026,6.391939,8.522734,86.050833,13.949164,0,80.741997,19.258,99.630951,0.369047,99.858334,0.072702,0.000233,0
47,Polygon,2,1688,IA,Des Moines, ,A5,A,8374,"{ ""1"" : ""Loans from 70-80% on a conservative appraisal could be made here. The average age is ten years of brick and frame construction with frame predominating. They rent from $30.00 to $60.00 per month, and valuations are from $4000.00 to $l0,000.00. S",9.125934,81.571767,0.092194,6.275941,2.771157,5.924753,73.517962,26.482041,0,93.247961,6.752042,100.000003,0,92.508473,0.039524,0.000032,1
48,Polygon,8,1689,IA,Des Moines, ,B1,B,8368,"{ ""1"" : ""On the northwest and southwest in Highland Park District, the age of homes is from 10 to 30 years. Brick predominates on the north and frame on the south. Rentals are from $20.00 to $45.00 per month and values from $2000 to $5000. Some rehabilit",9.183706,76.595207,0.24156,5.769837,20.193222,14.624043,84.131889,15.868117,0,99.297901,0.702105,97.908466,2.09154,84.232005,0.165528,0.00055,0
49,Polygon,5,1690,IA,Des Moines, ,B2,B,8356,"{ ""1"" : ""On a conservative valuation loans could be made of 70%, Business men, professional men and clerks as well as laborers of the better salaried class live here. This has quite a railroad population. Brick and frame construction with frame predomina",2.650412,91.744994,0.002574,1.566026,6.391939,8.522734,86.050833,13.949164,0,80.741997,19.258,99.630951,0.369047,99.858334,0.085515,0.000216,0
50,Polygon,5,1691,IA,Des Moines, ,B3,B,8364,"{ ""1"" : ""This is known as the Drake University District. Loans of 55-65% could be made here on a conservative valuation - in some cases to 70%. Frame predominates. Average age is 35 years, renting from $25.00 to $60.00 with values from $2000.00 to $7000.",4.066837,86.103524,0.32833,4.799405,3.661359,8.741805,68.827797,31.172205,0.189852,87.255638,12.744363,99.351937,0.648065,83.882035,0.107457,0.000296,0
51,Polygon,3,1692,IA,Des Moines, ,B4,B,8360,"{ ""1"" : ""A good district growing, trend of growth being to the northwest. Loans on a conservative appraisal could be made of 60% Homes consist of frame and brick construction with an average age of 15 years renting from $20.00 to $60.00, and values from",4.066837,86.103524,0.32833,4.799405,3.661359,8.741805,68.827797,31.172205,0.189852,87.255638,12.744363,99.351937,0.648065,83.882035,0.088633,0.000275,0
52,Polygon,3,1693,IA,Des Moines, ,B5,B,8359,"{ ""1"" : ""70% advance on conservative appraisal may be made here. Average age is 15 years. Frame predominates - mixed brick and frame. Rents are $20.00 to $40.00 per month - values $2500.00 to $4500.00. Business, professional men and clerks as well as bet",4.066837,86.103524,0.32833,4.799405,3.661359,8.741805,68.827797,31.172205,0.189852,87.255638,12.744363,99.351937,0.648065,83.882035,0.044296,0.000114,0
53,Polygon,5,1694,IA,Des Moines, ,B6,B,8362,"{ ""1"" : ""On a conservative appraisal loans may be made from 55-60%. Frame construction predominates with an average age of 25 years. Rents are from $15,00 to $40.00 per month - values $2000.00 to $7000.00. Business men, professional men, clerks and labor",4.066837,86.103524,0.32833,4.799405,3.661359,8.741805,68.827797,31.172205,0.189852,87.255638,12.744363,99.351937,0.648065,83.882035,0.028885,0.000039,0
54,Polygon,6,1695,IA,Des Moines, ,C1,C,8358,"{ ""1"" : ""In conservative appraisals loans may be made up to 60$. Prospects in this district are good for future improvement and development. Frame construction predominates averaging from 10 to 30 years of age. Rents range from $15.00 to $35.00 per month",4.066837,86.103524,0.32833,4.799405,3.661359,8.741805,68.827797,31.172205,0.189852,87.255638,12.744363,99.351937,0.648065,83.882035,0.245971,0.00079,0
55,Polygon,7,1696,IA,Des Moines, ,C2,C,8365,"{ ""1"" : ""Formerly known as North Des Moines. On a conservative appraisal loans up to 60% could be made. Frame construction predominates averaging 30 years of age, Rents range from $15.00 to $45.00 - values $2000.00 to $4500.00. There is a mixed type of i",4.066837,86.103524,0.32833,4.799405,3.661359,8.741805,68.827797,31.172205,0.189852,87.255638,12.744363,99.351937,0.648065,83.882035,0.129107,0.0004,0
56,Polygon,6,1697,IA,Des Moines, ,C3,C,8380,"{ ""1"" : ""There is considerable acreage here with a value of $150.00 to $300.00 per acre. On conservative appraisals, loans could be made up to 30%. The average age is 30 years. Frame predominates. Rents range from $10.00 to $30.00 per month - values §10",4.066837,86.103524,0.32833,4.799405,3.661359,8.741805,68.827797,31.172205,0.189852,87.255638,12.744363,99.351937,0.648065,83.882035,0.375471,0.001122,0
57,Polygon,4,1698,IA,Des Moines, ,C4,C,8354,"{ ""1"" : ""Acreage worth $100.00 to $300.00 per acre on the east and south. Loans up to $45% on a conservative appraisal could be entertained. Frame predominates - age 30 to 40 years, renting from $10.00 to $25.00 per month. Values range from $1000,00 to $",1.063753,94.130181,0.178247,0.582937,8.485054,8.376773,81.7885,18.211496,0.528406,88.278548,11.721448,99.732056,0.26794,88.281129,0.275873,0.001222,1
58,Polygon,3,1699,IA,Des Moines, ,C5,C,8370,"{ """" : """" }",10.379597,75.077972,0.000025,1.123799,18.709764,20.60699,54.657822,45.342187,0.388502,81.816679,18.183331,96.991947,3.008063,95.397446,0.117718,0.000332,0
59,Polygon,6,1700,IA,Des Moines, ,C6,C,8373,"{ """" : """" }",9.183706,76.595207,0.24156,5.769837,20.193222,14.624043,84.131889,15.868117,0,99.297901,0.702105,97.908466,2.09154,84.232005,0.355801,0.001982,0
60,Polygon,8,1701,IA,Des Moines, ,D1,D,8377,"{ ""1"" : ""Loans could be made up to 40-45% of conservative appraisals. Frame predominates. Age of homes is 40 years renting from $15.00 to $30.00 per month - values $1000.00 to $3000.00. Mostly laborers reside here. Considerable rehabilitation necessary.",29.540484,50.825815,0.543855,9.867682,34.871217,28.288888,56.409075,43.590926,0.171066,92.835283,7.164718,100.000001,0,99.613209,0.121749,0.00051,1
61,Polygon,4,1702,IA,Des Moines, ,D2,D,8379,"{ ""1"" : ""Loans up to 50% on conservative valuation could be entertained. Frame predominates - age from 30 to 50 years. Rents range from $15.00 to $40.00 per month. - values from $1000.00 to $4000.00 - very much mixed population. Considerable rehabilitati",17.968604,68.181635,0.131285,6.961033,14.577748,26.594229,37.059241,62.940763,0.062287,75.606053,24.393951,99.448427,0.551577,95.687392,0.202423,0.000793,0
62,Polygon,4,1703,IA,Des Moines, ,D3,D,8355,"{ ""1"" : ""Loans up to 50% of conservative appraisal could be made. Ages of homes is from 15 to 40 years - rents from $10.00 to $35.00 per month - values $4000.00 down to $1000.00. Type of inhabitant consists mostly of the Italian race. Considerable rehabi",1.063753,94.130181,0.178247,0.582937,8.485054,8.376773,81.7885,18.211496,0.528406,88.278548,11.721448,99.732056,0.26794,88.281129,0.151074,0.000702,1
63,Polygon,7,1704,IA,Des Moines, ,D4-5,D,8376,"{ ""1"" : ""Commonly known as \""The South Bottoms” in East Des Moines. On conservative appraisals some loans could be entertained up to 50%. Frame predominates - age 20-50 years renting from $8.00 to $25.00 - values $500.00 to $2500.00. Consists of mixed",10.588237,75.527048,0.023761,2.767692,20.103891,14.023622,69.260896,30.739092,0.462373,95.217428,4.78256,99.23712,0.762868,80.64863,0.337719,0.002037,0
64,Polygon,5,1705,IA,Des Moines, ,D6,D,8367,"{ ""1"" : ""Loans on a basis of 50% in some sections could be made on a conservative valuation. Type of predominant home is frame 20-40 years of age - rents from $12.50 to $35.00 per month - values $1000.00 to $3500.00. Consists of laboring class and on the",10.588237,75.527048,0.023761,2.767692,20.103891,14.023622,69.260896,30.739092,0.462373,95.217428,4.78256,99.23712,0.762868,80.64863,0.185559,0.00077,0
65,Polygon,3,1706,IA,Des Moines, , ,A,8372,"{ """" : """" }",10.588237,75.527048,0.023761,2.767692,20.103891,14.023622,69.260896,30.739092,0.462373,95.217428,4.78256,99.23712,0.762868,80.64863,0.021154,0.000018,0
66,Polygon,3,1707,IA,Des Moines, , ,A,8378,"{ """" : """" }",10.588237,75.527048,0.023761,2.767692,20.103891,14.023622,69.260896,30.739092,0.462373,95.217428,4.78256,99.23712,0.762868,80.64863,0.01201,0.000009,0
67,Polygon,4,1708,IA,Dubuque, ,A1,A,9406,"{ ""1"" : ""An advance of 60 per cent on conservative valuation could be made in this district. The construction is predominately brick and frame of an age of 25 to 30 years. Rents run from twenty to sixty dollars, and the average price for property here wo",0.617792,95.448809,0.023359,0.747895,1.948356,5.121413,81.236248,18.763758,0.176069,89.796749,10.203256,98.820297,1.179709,75.237975,0.112364,0.000286,0
68,Polygon,6,1709,IA,Dubuque, ,B1,B,9402,"{ ""1"" : ""Percentage of loans that might be made in this district on a conservative valuation, would be between 30 and 50 per cent. Frame predominates with some brick, and the average age of residences here would be better than 40 years. Rentals are from",7.177517,83.624854,1.025109,0.35308,2.581883,18.458171,56.746279,43.253717,0.970872,91.93797,8.062026,93.828137,6.171859,68.177799,0.15151,0.000213,0
69,Polygon,7,1710,IA,Dubuque, ,B2,B,9409,"{ ""1"" : ""On the east, on a conservative valuation, loans might be made up to 40 to 50 per cent, and on the west of (B2) from 30 to 50 per cent. The construction of residences in this district is mostly frame — some brick. The average age of those on th",0.617792,95.448809,0.023359,0.747895,1.948356,5.121413,81.236248,18.763758,0.176069,89.796749,10.203256,98.820297,1.179709,75.237975,0.272312,0.001036,0
70,Polygon,5,1711,IA,Dubuque, ,C1,C,9404,"{ ""1"" : ""On a conservative valuation, loans might be made in this district up to 50 per cent. Frame predominates. Average age is 40 to 50 years, and rentals are from $10.00 to $30.00 per month. The average value of homes is about $3500. Mostly labor peop",0.617792,95.448809,0.023359,0.747895,1.948356,5.121413,81.236248,18.763758,0.176069,89.796749,10.203256,98.820297,1.179709,75.237975,0.062125,0.000092,0
71,Polygon,5,1712,IA,Dubuque, ,C2,C,9401,"{ ""1"" : ""Mostly vacant rough property with a few scattered homes and acreages at about $150 per acre."" }",7.177517,83.624854,1.025109,0.35308,2.581883,18.458171,56.746279,43.253717,0.970872,91.93797,8.062026,93.828137,6.171859,68.177799,0.068368,0.000087,0
72,Polygon,3,1713,IA,Dubuque, ,C3,C,9403,"{ ""1"" : ""On a conservative valuation, loans of from 30 to 50 per cent could be made in some sections. Frame predominates with some brick. Houses run from 15 to 30 years of age and rent for from 15 to 25 dollars per month, with an average value of $2500.",7.177517,83.624854,1.025109,0.35308,2.581883,18.458171,56.746279,43.253717,0.970872,91.93797,8.062026,93.828137,6.171859,68.177799,0.113347,0.000431,0
73,Polygon,3,1714,IA,Dubuque, ,C4,C,9407,"{ ""1"" : ""Old construction, mostly brick, average age of fully 60 years, and on a conservative valuation, loans might be made up to 50 per cent. Rents are from 30 to 50 dollars, and values average $5000. Considerable rehabilitation is required. No sales a",3.727167,91.285539,0.034552,1.512008,2.351064,10.835417,69.772621,30.227376,0.49226,81.603778,18.396219,98.708707,1.29129,66.240528,0.028852,0.000012,0
74,Polygon,5,1715,IA,Dubuque, ,D1,D,9405,"{ ""1"" : ""East of the railroad tracks and north to the end of rail, this residential property can be considered as bad. Would consider making no loans at all on any valuation east of tracks. Frame predominates, with an average age of 50 years. Rentals are",7.177517,83.624854,1.025109,0.35308,2.581883,18.458171,56.746279,43.253717,0.970872,91.93797,8.062026,93.828137,6.171859,68.177799,0.187574,0.00021,0
75,Polygon,8,1716,IA,Dubuque, ,D2,D,9410,"{ ""1"" : ""West of the railroad tracks it would be necessary to be extremely careful of any loans made. Some might be considered on a conservative valuation of from 30 to 50 per cent. A mixture of old frame and brick buildings with an average age of better",0.617792,95.448809,0.023359,0.747895,1.948356,5.121413,81.236248,18.763758,0.176069,89.796749,10.203256,98.820297,1.179709,75.237975,0.130406,0.000248,0
