OBJECTID *,Shape *,Join_Count,TARGET_FID,state,city,name,holc_id,HOLC Grade,neighborho,area_descr,Black Population %,White Population %,Indigenous American %,Asian Population %,Hispanic or Latino Population %,% Below Poverty Line,% Housing Units Owned,% Housing Units Rented,% Mobile Homes,% 1970-1979 or older,% 1980-1989 or newer,% With Complete Plumbing,% With Incomplete Plumbing,% Foreign Born,Shape_Length,Shape_Area,Indicator for Plumbing
154,Polygon,3,153,AZ,Phoenix, ,A5,A,8477,"{ ""1"" : ""This small area compares favorably with the Country. Club section across the street to the east. Within it there is room for some development, all of which will be in the very best type of construction."" }",1.267799,82.728801,7.97033,6.195385,1.473524,5.381761,35.745289,64.254709,0,74.980236,25.019762,99.999998,0,96.985889,0.015815,0.000015,1
155,Polygon,4,154,AZ,Phoenix, ,B1,B,8481,"{ ""1"" : ""This is the newest and best moderately priced residential section of Phoenix, and within it there has been considerable new construction during the last few months. The area is less than fifteen years old and is occupied by modest business and p",0.006222,96.681487,0.000001,0.223892,8.16939,4.551567,72.456033,27.543967,0,92.540129,7.459871,100,0,99.999992,0.058447,0.000121,1
156,Polygon,4,155,AZ,Phoenix, ,B2,B,8478,"{ ""1"" : ""That portion of this area lying within the city limits contains some very fine homes averaging $6,000 in price. Without the city limits the construction is cheaper. This is a substantial residential section occupied by a good class of citizenry.",4.563051,79.991445,1.113518,7.314371,14.774794,3.654656,70.236292,29.763719,0.033062,63.905792,36.094218,100.000011,0,62.39875,0.028094,0.000041,1
157,Polygon,8,156,AZ,Phoenix, ,B3,B,8476,"{ ""1"" : ""This area is entirely outside the city limits, but is in line with the trend of development. The security is not as costly as that of B-1 and B-2, ranging in price from $2,000 to $7,000. Lack of city restrictions in this area is perhaps countera",3.219639,77.119201,0,4.922724,17.184445,26.489013,51.412113,48.587888,0,67.677727,32.322273,100.000001,0,100.000001,0.06363,0.000118,1
158,Polygon,6,157,AZ,Phoenix, ,B4,B,8487,"{ ""1"" : ""This is a very substantial section wherein the houses are from ten to fifteen years old and the average price range is $3,250. The area has advantages as to school and mercantile facilities, being reasonably close to the business district; also",3.219639,77.119201,0,4.922724,17.184445,26.489013,51.412113,48.587888,0,67.677727,32.322273,100.000001,0,100.000001,0.041855,0.000084,1
159,Polygon,7,158,AZ,Phoenix, ,B5,B,8488,"{ ""1"" : ""This is a well located, moderately priced subdivision, occupied by tradesmen and modest business and professional people. Much of the security therein was built for speculative purposes. The western portion of it was built up twenty years ago, w",0.312361,76.431804,0.016516,1.387198,30.560652,18.583013,39.05242,60.947585,0.018443,83.560505,16.439499,100.000004,0,50.886731,0.063513,0.000172,1
161,Polygon,7,160,AZ,Phoenix, ,B7,B,8486,"{ ""1"" : ""This area lies outside the city limits, and, while it is considered a good residential section, the security hardly compares with that of adjoining B-4. Modest homes, ranging from $1,200 to $2,250, in this area are occupied by suburban dwellers",1.267799,82.728801,7.97033,6.195385,1.473524,5.381761,35.745289,64.254709,0,74.980236,25.019762,99.999998,0,96.985889,0.06559,0.000173,1
162,Polygon,5,161,AZ,Phoenix, ,B8,B,8483,"{ ""1"" : ""This area is sparsely settled, but contains a few good homes and some of the cheaper type. It is outside the city limits, and the district will likely see some development in the near future and its value may be enhanced by reason of the exclusi",1.267799,82.728801,7.97033,6.195385,1.473524,5.381761,35.745289,64.254709,0,74.980236,25.019762,99.999998,0,96.985889,0.064021,0.00016,1
163,Polygon,4,162,AZ,Phoenix, ,C1,C,8475,"{ ""1"" : ""This area is only partially developed. It has several advantages of the in-town sections, including sewer, water, gas, etc., but of course does not have the restrictions of the city proper. Suburban dwellers occupy this area in houses ranging in",1.267799,82.728801,7.97033,6.195385,1.473524,5.381761,35.745289,64.254709,0,74.980236,25.019762,99.999998,0,96.985889,0.12239,0.000352,1
164,Polygon,6,163,AZ,Phoenix, ,C2,C,8485,"{ ""1"" : ""This is one of the older residential sections of Phoenix, and is declining because of obsolescence and business encroachment. Houses in this section are as old as forty years, but the property is readily rentable because of the proximity to the",4.563051,79.991445,1.113518,7.314371,14.774794,3.654656,70.236292,29.763719,0.033062,63.905792,36.094218,100.000011,0,62.39875,0.080676,0.000109,1
175,Polygon,3,174,CA,Fresno, ,A1,A,604,"{ ""1"" : ""This is the best residential district in the city and is occupied by business and professional men with incomes ranging from about $2,500 to $8,000 a year. It is comprised of houses ranging in cost from $4,500 to $12,000 and ranging in age from",2.04538,89.682797,0.793567,1.576609,20.719367,14.024123,75.334586,24.665418,0,94.011725,5.988278,100.000004,0,89.524278,0.033319,0.000039,1
176,Polygon,2,175,CA,Fresno, ,A2,A,605,"{ ""1"" : ""This small area stands out definitely from the solid “blue” area, “B-2”, and its boundaries are well defined, as indicated on the map. It is occupied by business and professional men with income ranging from about $4,000 to $12,000. The",0.42796,79.457917,0,1.854494,54.065621,8.118081,44.649446,55.350554,0,100,0,100,0,100,0.014593,0.00001,1
178,Polygon,6,177,CA,Fresno, ,B2,B,8034,"{ ""1"" : ""This area is a very good residential district. The homes are fairly uniform, the population is stable and substantial, educational facilities excellent, and transportation to the business district of the best. It is occupied for the most part by",2.04538,89.682797,0.793567,1.576609,20.719367,14.024123,75.334586,24.665418,0,94.011725,5.988278,100.000004,0,89.524278,0.106311,0.000181,1
182,Polygon,3,181,CA,Fresno, ,C1,C,629,"{ ""1"" : ""This area separates the best residential neighborhood on the north side of Fresno from the popular new suburban residential sub-division known as Fig Gardens. It includes sections on both sides of the main line railroad running northwesterly thr",0,62.897196,0,4.299065,64.485981,6.873614,32.372506,67.627494,0,62.985685,37.014315,100,0,92.462312,0.020257,0.000023,1
184,Polygon,7,183,CA,Fresno, ,C3,C,607,"{ ""1"" : ""This is an area which is occupied for the most part by “white-collared” workers and business men with incomes ranging from $1,500 to $3,000 a year. The houses average about 18 years in age (with the exception of the narrow strip running nort",2.04538,89.682797,0.793567,1.576609,20.719367,14.024123,75.334586,24.665418,0,94.011725,5.988278,100.000004,0,89.524278,0.122801,0.00017,1
189,Polygon,2,188,CA,Fresno, ,C8,C,622,"{ ""1"" : ""This is an area which was sub-divided 20 years ago with low-priced lots for low-priced houses. It is now occupied by workers employed in the fruit packing houses, laborers, and a very few “white-collar” workers, whose incomes range from $600",2.619895,71.817352,0.777542,2.675995,79.870355,29.980515,60.17981,39.820195,17.96479,89.589019,10.410986,100.000005,0,98.113596,0.030201,0.000051,1
191,Polygon,3,190,CA,Fresno, ,D1,D,609,"{ ""1"" : ""This area is located on the north side of Fresno but is separated form the best and most popular sections by a main line railroad running northwest. The area is level and is occupied by American whites entirely, most of whom are laborers and art",0,62.897196,0,4.299065,64.485981,6.873614,32.372506,67.627494,0,62.985685,37.014315,100,0,92.462312,0.035313,0.000061,1
200,Polygon,4,199,CA,Los Angeles, ,A10,A,7775,"{ ""71"" : ""7-1938"", ""8"" : ""Terrain: Level with favorable grades. No construction hazards. Land improved 40%. Deed restrictions provide good coverage and protection against racial hazards. Good school facilities and churches are conveniently available. Tra",2.327453,78.990564,0.652462,5.396637,19.623464,8.956633,77.879897,22.120108,0,91.833129,8.166877,100.000005,0,88.930079,0.069442,0.000181,1
201,Polygon,3,200,CA,Los Angeles, ,A11,A,7808,"{ ""1e"" : ""None apparent"", ""1a"" : ""N/A Rapidily N/A"", ""2l"" : ""Not a rental district N/A"", ""2"" : ""85 5"", ""2a"" : ""5 rooms 6, 7 and 8 rooms"", ""2b"" : ""N/A Frame, stucco and masonry"", ""2m"" : ""N/A N/A Not a rental district N/A"", ""2c"" : ""3 years N/A"", ""2d"" : ""N/",1.864802,57.104926,0.164382,20.661576,31.490137,4.186073,80.041767,19.958227,0,94.687764,5.31223,99.999994,0,90.525675,0.04309,0.00006,1
211,Polygon,1,210,CA,Los Angeles, ,A20,A,7778,"{ ""4a"" : ""0"", ""8"" : ""Terrain slightly rolling live oak grove with perceptible grade from south to north. No construction hazards. Land improved 35%. Deed restrictions provide for single family structures with a minimum of 200 sq. ft. to be constructed un",1.656857,32.424017,0,51.391172,3.378731,3.934487,89.443372,10.556631,0,92.522863,7.47714,100.000003,0,96.464285,0.040049,0.000086,1
212,Polygon,1,211,CA,Los Angeles, ,A21,A,7777,"{ ""2a"" : ""6-8 rooms N/A"", ""9"" : ""4-28-39 Lower Rancho Santa Anita 1st A-21"", ""1a"" : ""Rapidly  N/A N/A"", ""10"" : """", ""2j"" : ""N/A Fair"", ""2i"" : ""N/A 1939 7500-10000 N/A N/A"", ""2k"" : ""N/A Static"", ""2h"" : ""N/A N/A 7500-10000 N/A"", ""2g"" : ""N/A --"", ""2f"" : ""N/A",0,50.980421,0,45.88323,13.301139,13.185477,90.284465,9.715541,0,96.333806,3.6662,100.000006,0,98.739215,0.036531,0.000068,1
214,Polygon,1,213,CA,Los Angeles, ,A23,A,7822,"{ ""1d"" : ""0"", ""9"" : ""Pomona 5-8-39 A-23 1st-"", ""8"" : ""Terrian: Hillside to hilltop. Some construction hazards. Land improved 20% out of a possile 60%. Deed restrictions run 50 years with provision for renewal. Provides for architectural supervision of pl",8.714973,54.335161,2.190516,7.526846,59.102951,9.778045,75.218006,24.782,9.15171,57.138784,42.861222,100.000006,0,100.000006,0.031055,0.000047,1
215,Polygon,1,214,CA,Los Angeles, ,A24,A,7823,"{ ""4b"" : ""0"", ""5"" : ""3"", ""8"" : ""Terrain: Level with favorable grades and no construction hazards. Land improved 80%. Deed restrictions provide uniform setbacks and minimum cost of improvements. Protects against racial hazards. Conveniences are all readil",9.431977,34.71248,3.821879,5.925666,64.270683,18.343948,51.974519,48.025475,1.818182,65.212117,34.787877,99.999994,0,99.999994,0.012421,0.000008,1
217,Polygon,2,216,CA,Los Angeles, ,A26,A,7691,"{ ""8"" : ""Terrain: Rolling to hillside. Some construction hazards. Land improved 15%. Deed restrictions limit improvements to single-family structures, provide for architectural supervision, and protects against subversive racial hazards. Conveniences are",0.694525,86.651541,0.610052,5.427128,7.039981,0.273606,81.940409,18.059596,0,78.58869,21.411315,100.000005,0,82.249842,0.079904,0.000146,1
228,Polygon,2,227,CA,Los Angeles, ,A36,A,8026,"{ ""5"" : ""3"", ""0"" : ""Los Angeles County"", ""10"" : ""Caution: This area is currently affected in whole or in part by Ad valorem Tax District. Individual properties should be chocked for this hazard."", ""1a"" : "" Moderately "", ""1b"" : ""Professional and business",7.200852,79.770775,0.708281,5.692587,5.02226,6.330815,90.703364,9.296632,0.186694,81.930143,18.069853,99.999996,0,93.80157,0.023991,0.000031,1
231,Polygon,3,230,CA,Los Angeles, ,A39,A,7644,"{ ""2b"" : ""Stucco Stucco"", ""0"" : ""Los Angeles County"", ""10"" : ""Caution: This area is currently affected in whole or in part by an Ad valorem Tax District. Individual properties should be checked for this hazard."", ""1a"" : ""N/A N/A Moderately"", ""1b"" : ""Moti",0.48158,83.098419,0,6.807506,8.438788,8.064753,61.418952,38.581049,0,94.149641,5.85036,100.000001,0,92.863997,0.03832,0.000061,1
239,Polygon,2,238,CA,Los Angeles, ,A48,A,7538,"{ ""2m"" : ""N/A N/A N/A N/A"", ""2h"" : ""8500-17500 15 N/A N/A"", ""2i"" : ""1939 8500-17500 N/A 0 N/A"", ""2j"" : ""N/A Fair to slow"", ""2k"" : ""N/A Static"", ""2l"" : ""Not a rent area N/A"", ""2n"" : ""N/A N/A N/A N/A N/A"", ""2o"" : ""N/A -"", ""2p"" : ""N/A -"", ""3"" : ""2 story fra",83.591344,5.559302,0,4.693734,6.185207,4.717291,76.47762,23.522379,0,98.924127,1.075872,99.999999,0,65.375782,0.037734,0.000092,1
241,Polygon,3,240,CA,Los Angeles, ,A5,A,7726,"{ ""1a"" : ""Moderately N/A N/A"", ""2g"" : ""N/A 7500-10000 and up"", ""2h"" : ""N/A N/A 8500-15000 and up N/A"", ""2i"" : ""N/A N/A 8500-15000 and up 1939 N/A"", ""2j"" : ""N/A Fair to good"", ""2k"" : ""N/A Static"", ""2d"" : ""N/A Good"", ""2p"" : ""-- N/A"", ""2o"" : ""N/A No record",0.091625,79.29952,0,15.082062,4.937975,4.742048,91.301974,8.698024,0,86.461537,13.538461,99.999998,0,98.460311,0.055168,0.000114,1
242,Polygon,3,241,CA,Los Angeles, ,A50,A,7527,"{ ""8"" : ""Terrain: Level to hillside to hilltop. Some construction hazards. Land improved 50%. Deed restrictions are effective and protect against racial hazards in perpetuity. Zoning is single-family residential. Conveniences are all reasonably available",69.340502,9.653107,0.889981,4.056202,14.493119,21.417148,54.235538,45.764464,0,91.27618,8.723822,100.000002,0,93.584866,0.022397,0.000024,1
252,Polygon,1,251,CA,Los Angeles, ,A60,A,7478,"{ ""2h"" : ""N/A N/A N/A 6000-10000"", ""2n"" : ""N/A N/A N/A N/A N/A"", ""3"" : ""20 Owner built 6 to 8 room bungalows. $6000-12000"", ""1b"" : ""Professional and business men, executives and retired people. Income $4000-8000"", ""9"" : ""3-22-60 A-60 Hatched 1st South Pa",2.091648,66.748972,1.195227,16.827395,10.717717,1.870067,93.752989,6.24701,0,87.396263,12.603736,99.999999,0,83.610381,0.043036,0.000111,1
255,Polygon,5,254,CA,Los Angeles, ,A9,A,7774,"{ ""2f"" : ""95% 85%"", ""2p"" : ""Static --"", ""2g"" : ""4500-7500 8000 and up"", ""9"" : ""1st 4/10/39 A-9 N. E. Altadena"", ""2i"" : ""5500-8500 8500 and up N/A N/A 1939"", ""2n"" : ""1939 -- $35-60 N/A N/A"", ""2a"" : ""5, 6 and 7 rooms 8, 9 and 10 rooms and up"", ""2h"" : ""5500",2.327453,78.990564,0.652462,5.396637,19.623464,8.956633,77.879897,22.120108,0,91.833129,8.166877,100.000005,0,88.930079,0.109416,0.000276,1
257,Polygon,2,256,CA,Los Angeles, ,B10,B,7753,"{ ""2i"" : ""N/A N/A 1939 5000-7500 N/A"", ""2k"" : ""Static N/A"", ""2d"" : ""Good N/A"", ""6"" : ""Ample"", ""2h"" : ""N/A N/A N/A 5000-7500"", ""3"" : ""75 5, 6 and 7 room bungalows $5000-7500 Readily"", ""1c"" : ""Few None subversive"", ""2p"" : ""Static N/A"", ""2g"" : ""N/A Undevelo",2.914652,72.950216,0.227652,11.771211,12.656359,9.52786,46.932663,53.06734,0,69.401912,30.59809,100.000003,0,92.455386,0.052739,0.00015,1
263,Polygon,2,262,CA,Los Angeles, ,B105,B,7856,"{ ""3"" : ""Owner built 35 5-6-7 and 8 rooms $4750-15000"", ""2d"" : ""Good N/A"", ""2p"" : ""- N/A"", ""2o"" : ""N/A -"", ""2e"" : ""N/A 98%"", ""2n"" : ""N/A N/A N/A N/A N/A"", ""4a"" : ""0"", ""2i"" : ""N/A 1939 6500-12500 N/A N/A"", ""2j"" : ""Fair N/A"", ""2m"" : ""N/A N/A N/A N/A"", ""2l""",0.478285,60.110709,0.520273,6.606683,58.255354,9.857015,79.649489,20.350512,0,90.301042,9.698959,100.000001,0,98.847837,0.049258,0.000118,1
264,Polygon,1,263,CA,Los Angeles, ,B106,B,7851,"{ ""2l"" : ""30-45 N/A"", ""2m"" : ""35-50 N/A N/A N/A"", ""2n"" : ""N/A N/A 1939 N/A 35-50"", ""2o"" : ""N/A Good"", ""2p"" : ""N/A Static"", ""3"" : ""75 Moderately 5-7 rooms $4500-7500"", ""4a"" : ""0"", ""4b"" : ""Few"", ""5"" : ""3"", ""5a"" : ""0"", ""5b"" : ""0"", ""6"" : ""Ample"", ""71"" : ""7-1",0.742468,41.82263,1.616179,1.966932,81.313675,7.758575,83.378983,16.621023,7.156579,90.98934,9.010666,100.000006,0,97.597221,0.034557,0.000062,1
265,Polygon,2,264,CA,Los Angeles, ,B107,B,7859,"{ ""2o"" : ""Good N/A"", ""2b"" : ""N/A Frame and stucco"", ""2f"" : ""90% N/A"", ""9"" : ""5-1-39 B-107 2nd Downey"", ""4a"" : ""0"", ""2c"" : ""N/A 3 years"", ""2d"" : ""N/A Fair to good"", ""2p"" : ""Static N/A"", ""2i"" : ""N/A N/A N/A 1939 3000-4000"", ""2e"" : ""N/A 98%"", ""6"" : ""Ample (",0,60.91807,0.281021,4.704227,76.553537,5.439939,46.27622,53.723775,0,89.560316,10.439679,99.999995,0,98.725764,0.029887,0.000053,1
266,Polygon,1,265,CA,Los Angeles, ,B108,B,7858,"{ ""1c"" : ""0 -"", ""2f"" : ""95% N/A"", ""2e"" : ""98% N/A"", ""4b"" : ""Few"", ""1b"" : ""Business and professional men, retired people, Jr. executives etc. "", ""2d"" : ""N/A Good"", ""5b"" : ""0"", ""6"" : ""N/A"", ""2l"" : ""N/A Not a rental neighborhood"", ""71"" : ""8-1939"", ""2c"" : ""N",0.066195,45.071069,0.257243,10.417316,71.848968,1.668185,62.49338,37.50662,0,91.06391,8.93609,100,0,98.715535,0.030608,0.000026,1
267,Polygon,2,266,CA,Los Angeles, ,B109,B,7591,"{ ""2a"" : ""Larger and older singles 5 and 6 rooms"", ""6"" : ""Ample"", ""5b"" : ""0"", ""71"" : ""7-1938"", ""72"" : ""47.2"", ""5a"" : ""3"", ""5"" : ""3"", ""8"" : ""Terrain: Level, no construction hazards. Land improved 50%. Deed restrictions provide for minimum improvement cost",1.724236,70.605945,0.539595,0.622042,89.471885,22.722296,41.96484,58.035172,5.999147,92.482884,7.517129,100.000012,0,98.013081,0.046192,0.000119,1
281,Polygon,1,280,CA,Los Angeles, ,B121,B,7479,"{ ""1c"" : ""- 0"", ""6"" : ""Ample"", ""2j"" : ""N/A Fair"", ""72"" : ""52.7"", ""3"" : ""8 5-6 room stucco $5000-6500 Owner built"", ""1d"" : ""0"", ""2b"" : ""Stucco and frame N/A"", ""2i"" : ""N/A 4500-6000 N/A N/A 1939"", ""2f"" : ""N/A 95%"", ""5a"" : ""0"", ""4a"" : ""3"", ""8"" : ""Terrain: H",2.525554,89.859804,0.038052,1.218055,22.635704,7.061191,83.28654,16.713467,0,81.789767,18.21024,100.000007,0,88.560359,0.039187,0.000061,1
286,Polygon,3,285,CA,Los Angeles, ,B16,B,7723,"{ ""1d"" : ""0"", ""2a"" : ""5-7 room bungalows Few multiples and 8, 9, 10 room 2 story"", ""2b"" : ""Stucco - some frame N/A"", ""9"" : ""2nd - Verdugo Woodlands 3-25-39 B-16"", ""8"" : ""Terrain: Level canyon floor to steep hillside with some construction, drainage and f",0.454787,72.344871,0.718638,9.83253,8.160595,10.826222,68.189025,31.81098,0,80.984215,19.015791,100.000006,0,98.22926,0.186266,0.000327,1
289,Polygon,6,288,CA,Los Angeles, ,B19,B,7729,"{ ""2l"" : ""N/A 40-50"", ""2e"" : ""N/A 98%"", ""0"" : ""Los Angeles County"", ""2b"" : ""N/A Frame and stucco"", ""3"" : ""6-7 rooms $6500-8500 35 Owner built"", ""2"" : ""85% 15%"", ""1e"" : ""None apparent"", ""71"" : ""7-1938"", ""5b"" : ""Few"", ""6"" : ""Ample"", ""1a"" : ""N/A Moderately",0.091625,79.29952,0,15.082062,4.937975,4.742048,91.301974,8.698024,0,86.461537,13.538461,99.999998,0,98.460311,0.058786,0.000099,1
302,Polygon,9,301,CA,Los Angeles, ,B30,B,7809,"{ ""5"" : ""3"", ""2c"" : ""25 years 15 years"", ""9"" : ""2nd - B-30 4-14-39 N. E. Pasaadena and Altadena"", ""2b"" : ""Frame, stucco and masonry Frame, stucco and masonry"", ""5b"" : ""Many"", ""2m"" : ""50-60 N/A 30-50 N/A"", ""2o"" : ""Fair Good"", ""2a"" : ""5, 6 and 7 rooms 8, 9",2.327453,78.990564,0.652462,5.396637,19.623464,8.956633,77.879897,22.120108,0,91.833129,8.166877,100.000005,0,88.930079,0.101375,0.000219,1
303,Polygon,5,302,CA,Los Angeles, ,B31,B,7807,"{ ""2n"" : ""N/A 1939 30-50 N/A N/A"", ""4b"" : ""Few"", ""2k"" : ""Static N/A"", ""5"" : ""3"", ""5a"" : ""2"", ""5b"" : ""Few"", ""2j"" : ""Good N/A"", ""2i"" : ""N/A 1939 4500-6000 N/A N/A"", ""1b"" : ""Business and professional men, public employees, skilled artisans, white collar wor",2.327453,78.990564,0.652462,5.396637,19.623464,8.956633,77.879897,22.120108,0,91.833129,8.166877,100.000005,0,88.930079,0.150743,0.000247,1
311,Polygon,2,310,CA,Los Angeles, ,B39,B,7806,"{ ""2l"" : ""N/A 30-45"", ""6"" : ""Ample (FHA)"", ""5b"" : ""Few"", ""5a"" : ""0"", ""5"" : ""3"", ""4b"" : ""Few"", ""4a"" : ""0"", ""3"" : ""Owner built 6-room $6500-7000 6"", ""2p"" : ""Static N/A"", ""2o"" : ""N/A Fair"", ""2n"" : ""N/A N/A 35-50 1939 N/A"", ""2m"" : ""35-50 N/A N/A N/A"", ""2k"" :",6.44149,71.553317,0.949254,15.185771,8.980894,7.831057,66.726186,33.273816,0,90.57689,9.423112,100.000002,0,79.061175,0.053769,0.000077,1
321,Polygon,1,320,CA,Los Angeles, ,B48,B,7697,"{ ""5"" : ""3"", ""2l"" : ""Not a rent area N/A"", ""2m"" : ""N/A N/A N/A N/A"", ""2n"" : ""N/A N/A N/A N/A N/A"", ""2o"" : ""- N/A"", ""2p"" : ""N/A -"", ""72"" : ""52.7"", ""3"" : ""30 8 and 9 rooms $10,000 and up Moderately"", ""4a"" : ""0"", ""4b"" : ""0"", ""2c"" : ""2 years N/A"", ""0"" : ""Los",2.975462,82.864728,0,7.691081,6.617254,4.656368,91.404372,8.595628,0.433868,80.620621,19.379379,100,0,92.6212,0.054245,0.000077,1
338,Polygon,6,337,CA,Los Angeles, ,B64,B,7645,"{ ""71"" : ""8-1939"", ""2i"" : ""N/A N/A 5500-7000 10000-12500 1939"", ""2h"" : ""5500-7000 N/A N/A 10000-12500"", ""2g"" : ""4750-6000 8500-10000"", ""2f"" : ""60% 60%"", ""2e"" : ""97% 97%"", ""6"" : ""Ample"", ""2d"" : ""Good Good"", ""72"" : ""52.7"", ""2c"" : ""20 years 20 years"", ""5b""",0.48158,83.098419,0,6.807506,8.438788,8.064753,61.418952,38.581049,0,94.149641,5.85036,100.000001,0,92.863997,0.076285,0.000132,1
339,Polygon,3,338,CA,Los Angeles, ,B65,B,7659,"{ ""1a"" : ""N/A Slowly N/A"", ""9"" : ""2-24-39 Rosewood - La Jolla District 2nd - B-65"", ""2d"" : ""N/A Good"", ""1b"" : ""Business and professional men, white collar workers, skilled artisans, etc. Income $1800-3000"", ""2e"" : ""N/A 98%"", ""2f"" : ""N/A 65%"", ""8"" : ""Terr",6.228673,78.612764,0.683447,8.586301,7.220852,6.133634,39.634643,60.365361,0,80.393841,19.606164,100.000004,0,98.151033,0.027719,0.000046,1
344,Polygon,2,343,CA,Los Angeles, ,B7,B,7755,"{ ""1b"" : ""Studio technicians, public employees, business and professional men. Income $2000-5000 and up"", ""72"" : ""52.68"", ""5a"" : ""0"", ""2l"" : ""N/A No record of rentals in this area"", ""8"" : ""Terrain: Level with favorable grades. No construction or flood ha",4.422872,80.465094,0.550039,4.673698,9.762547,5.047816,47.670758,52.329239,0.305064,64.687952,35.312045,99.999997,0,86.325899,0.107743,0.000211,1
